ra,dec,phot_g_mean_mag
43.21520590182947,67.26104220319901,10.841185
43.23192273757177,67.28292931650181,11.477264
42.34009472386878,67.20055984068044,11.241699
42.36222466584504,67.24970665571823,11.323478
42.794827517631184,67.30214597078366,11.561693
41.14246421390951,67.03245394578946,11.363631
41.292169843655465,67.11398053136274,11.483019
42.03117117687073,67.21579563014475,11.938669
41.859940598468185,67.2050471360302,10.210817
41.63895827127306,67.16851866786594,10.294392
41.52831393438135,67.18816137049463,10.506771
41.7713472577459,67.22512420413248,11.406447
41.56903548941815,67.29627369198249,11.483131
40.981452333042675,67.15646413087377,11.883504
41.108444897689914,67.27237326975816,11.1715765
41.33014606345547,67.3285883026151,11.900171
41.529434665457124,67.37206276490447,11.3128
42.211922951558456,67.35717643135644,8.746245
41.83192539420939,67.35694148212853,11.977216
42.08895117805766,67.42654558000973,10.958312
42.3932636622897,67.44613294820934,11.238132
42.284068706164284,67.64120708852154,10.671926
41.68738366436414,67.38924798290854,11.625568
41.86764394478492,67.47742917683527,11.94818
41.87464708914608,67.54549013864575,9.883888
41.598610661168365,67.62186560434057,11.906926
42.096234498343115,67.67396897285812,11.662699
41.701567320206685,67.73356450764868,8.156098
41.84122826999731,67.75057640562315,11.207955
41.92809774475449,67.84995817216657,10.939898
37.705200347842066,67.15207765950429,10.388724
37.60732637116195,67.23547042814003,11.566261
37.48180457379872,67.25240384238711,11.840894
37.416045254836106,67.29453412174637,10.824969
36.54479719305377,67.30911897357726,11.403113
36.60256310854305,67.29531048053528,10.623671
37.002725061741614,67.24747967449139,11.850758
37.105473976511306,67.35109000513384,11.599983
37.02903936609611,67.36018835516019,11.8577585
36.793310344007246,67.47152529158629,11.471559
36.464393549324036,67.38114496217598,11.930387
36.31041939659389,67.40345146626545,11.970314
36.6452810450386,67.428441443923,9.448617
36.46818234404249,67.61747259331294,11.914726
35.62042079560806,67.47467661713127,11.852773
35.62933435115375,67.6194682177094,9.591823
35.99391702931103,67.68260316581377,10.4686775
36.16537272826251,67.69086938466619,11.262987
36.07755468795027,67.71662458765955,11.536795
36.03950738728059,67.85124751223749,11.03225
39.22896734192228,67.05312306352666,11.750919
39.210935274919294,67.1234992245579,11.413688
39.9208289201828,67.01674793222585,11.567372
40.41466451723867,67.05803447072883,11.888831
40.447394792593805,67.17863224811502,10.874619
40.52785729304119,67.23850055692301,8.594793
39.43685551725904,67.12945756487585,11.184421
39.29171767515748,67.1992615638583,11.163729
39.63381114125804,67.24527630230642,9.819571
40.131429651789006,67.3150801605969,11.022325
39.65002906017531,67.40195571493796,11.925032
38.36562258273794,67.09857271835544,11.629246
38.92260134562103,67.13318932127954,11.957825
38.80154056374324,67.10472117301589,10.9953165
39.06716536463654,67.16663912706807,9.969762
38.92312579977785,67.17131512692418,11.622892
38.79389360979682,67.1887110252165,11.517692
38.71928311579853,67.26959298378993,8.550558
38.01247103985635,67.12769703876849,10.914683
38.358971608434416,67.1637834195801,10.28325
38.33085021270691,67.17979796196555,10.472283
37.99202137501221,67.17551363173268,11.608081
38.53754400087329,67.2753554067712,11.219196
38.65951542463881,67.3253802841403,11.688375
38.63077361619385,67.36777620008584,10.963962
38.566208837291114,67.41639368988521,8.006759
38.201764248558135,67.3186407714888,10.883889
38.45767577856598,67.47855341731106,11.653511
38.302520784198265,67.52708878193077,11.452146
39.20181558653075,67.24714074078591,11.85691
39.41053974619359,67.3490620253972,11.941374
39.07051218287618,67.51311406734735,7.1445527
39.582571706515374,67.4225279999399,9.252578
39.55127698186362,67.48507036499657,10.945866
39.447720000972836,67.52675516957406,10.872667
39.623216509978036,67.60674801139729,11.543978
39.201324034541926,67.55023226135233,11.246856
38.75496121561957,67.44551740880598,10.642147
38.65980816804048,67.51231765637672,11.954615
38.765728856321516,67.58234233635994,9.413765
38.47039445355341,67.5590040870982,11.98495
38.70201034513076,67.57578099303524,9.743453
