ra_deg,dec_deg,mag
89.84071302696482,49.92452710034311,5.508331
124.82128578084595,62.507194368392874,5.5086074
246.42733119112785,78.96432577552042,5.510821
340.5866823904173,53.90871060076014,5.511809
351.76097112409917,87.30758267868885,5.5121346
76.62415500362859,61.169390285653456,5.51609
17.577273220838322,42.08128926565274,5.5214458
6.06533698932954,52.01989950745484,5.521783
100.13445167095949,71.74883533862031,5.5223527
292.75096389727867,70.98949318665451,5.5305867
35.24278261404317,50.15135542256168,5.531337
48.94986322883467,57.14061875687593,5.5315356
94.09171385521728,56.734692499507055,5.5330234
55.2828675699199,37.58007316142712,5.5338373
1.6106666150854756,64.19616165053408,5.53836
67.05509226579845,83.80784454080951,5.538429
20.919695944478597,37.714859888933255,5.5394425
10.514136352148116,66.1475576422023,5.5424232
270.0394735311632,80.00463713397076,5.542706
25.586159810198804,68.04298500272667,5.545116
17.856959709416582,64.20259345453005,5.5467505
40.74844052244074,53.52596778122377,5.546828
27.82050730757068,64.85494490552183,5.546991
4.224711814269569,49.461891615139216,5.547027
76.05355718441234,73.76382676647339,5.548585
92.80650055415882,60.45342239359071,5.54938
52.21818892917222,49.848273470267536,5.5509315
310.7962062471691,66.6576000389326,5.5520673
17.922754399388737,65.01879816789534,5.5537515
201.73350997736594,78.64400526580202,5.562666
74.94293443641553,53.155403981240084,5.5645556
77.67921253141579,46.961403306519784,5.5648713
149.59364688032446,72.87935460858195,5.5667925
346.9401312270814,49.29636056194735,5.567371
13.723779431685141,83.70733017948876,5.5708904
115.20626292550384,57.08281902326682,5.570986
351.8208982409511,70.3597628948934,5.571363
273.8688965166904,86.65788076955852,5.5744476
132.69422256863143,78.16508449638903,5.5777216
347.4339150096096,59.332693303729855,5.578588
44.50966399313499,38.614851612912496,5.579352
12.04005046603528,72.67454633367866,5.584106
18.072416959434452,79.67394179452158,5.5847673
0.6504657189348808,66.0989627384363,5.585219
335.77920139127536,55.96321618744095,5.5854383
56.13126466720484,36.45993598382901,5.5873218
38.629301489740634,76.71792198823051,5.590299
90.33524817449982,85.18210893845733,5.5932407
25.165859336458542,43.29748897228966,5.597114
124.46002045787293,59.571145430174276,5.5980153
116.66728749346143,65.45575252700418,5.5998306
264.28736781065373,72.45586103043968,5.602662
353.2356479273695,46.12367601128495,5.604608
44.21107553034252,51.261164262761774,5.6092644
328.83578740130434,61.54180023805437,5.609531
97.69602304387136,58.16112834050636,5.609718
324.7400515490634,57.48901836733052,5.612378
332.0683879715211,72.76846477677235,5.6165023
114.19589145807203,55.754895022482756,5.617978
3.3777719384171805,41.03472004815371,5.619107
81.24744325481572,73.70718887269712,5.621832
152.1432286025687,83.91839863828542,5.624004
42.92370416145618,46.84183160562029,5.629792
11.412556412901912,74.98796866670729,5.630169
56.49705635100865,45.68181626157743,5.6314926
127.4417304981601,67.29748578950702,5.6350646
73.19892889041586,42.58662962926987,5.635859
11.108867440671704,47.86402171375489,5.6360025
44.13873048235117,47.1640088570517,5.638136
350.0599849849552,61.970105394330474,5.6397343
7.237479958307253,48.41368731649919,5.639755
329.46266865862873,74.99666823953353,5.6410837
133.3438998381861,61.96236208862284,5.64289
143.72409140423827,72.20534421110501,5.6501126
8.293853625879505,54.89481225467628,5.6511397
205.66194534176432,78.06464406557446,5.6533303
70.35083089344535,48.30067878522978,5.6537886
334.1110662833896,57.22026042059751,5.6561637
265.49259095531403,72.15567296217928,5.6569943
25.054463465346046,53.86825802426039,5.662336
2.996591846250644,48.15244488492504,5.6640687
205.59765430652243,82.7522251585697,5.666739
64.43308122237333,62.34662752537456,5.669999
64.22321164298228,61.849899346026206,5.670231
325.6889732472605,59.270848564196875,5.6739755
72.27450305419933,61.50729358974309,5.6741877
338.0672760995113,76.22639393957886,5.6747007
34.51899138050382,57.5163161082762,5.674918
90.244037295787,47.90183114795558,5.676159
120.3367368247351,59.047514090726956,5.677026
27.162822304521388,37.95275035937315,5.6775155
48.349577672264836,48.176876684343746,5.678236
0.31616606300847505,60.355259769716056,5.678268
336.26441520473514,51.25598689782271,5.6806345
38.369818785056815,45.65449234142054,5.6829
28.039174550803402,50.792663519050784,5.683458
328.00446344649737,55.79675744090666,5.684506
340.0767423891639,53.84584347679825,5.6866026
352.5310839574249,49.13315945542308,5.6901727
91.28914160309253,75.58587545459022,5.6904974
99.42049806752281,61.48002037612373,5.6914687
16.08030064024787,61.58007322585319,5.692847
345.37793974248905,57.10543330752205,5.692899
358.8894087944296,47.355771503974864,5.6939597
6.2768743148044965,53.04676265248804,5.694212
351.4003714641197,52.97940360474729,5.6953487
22.809118522187866,70.26426647098779,5.696995
9.11395664650517,60.32620581996688,5.7019825
30.737535034425786,77.91623861273635,5.703299
65.06019330409363,41.80795695133973,5.7064514
56.504867076409795,67.20109687137528,5.7087336
68.00769054760464,53.91082090210578,5.712364
240.88027508150398,76.79403358850176,5.7130566
342.1845237387089,62.938195602618784,5.7157445
307.366745906346,81.0922590023316,5.718748
321.20761093302605,80.52477094576236,5.7204647
358.8407010155139,48.63820637743693,5.7219734
194.69733823565613,75.47252773678306,5.7238016
164.36500024236543,74.33626883955623,5.7240057
42.99483489071468,68.8884657149681,5.731104
74.02944308941125,52.86980380344516,5.731692
71.68536714310615,40.31241433179823,5.732945
55.45077760895177,62.648428776586236,5.7357125
40.7620968624237,55.10592188825788,5.736586
262.7029354484284,86.9680905441255,5.7378635
343.99345700127526,62.43228144471603,5.7390065
310.64782760182084,82.53124936722547,5.739139
14.054396176153885,57.99648887851692,5.7392054
62.517671040145835,86.6257518352826,5.7400913
342.0337361293378,49.58268023120199,5.7409987
0.5736917667771836,60.70311871281865,5.742062
35.7091523558086,41.395854844342004,5.743348
313.68537333843636,75.92576541251874,5.7443647
354.7559417735167,52.26245633905297,5.7443867
267.5422195700878,78.30657982329681,5.744723
17.139594927737946,58.263392887622565,5.7464166
359.3311763318232,61.0261868279287,5.7470355
336.4457465427003,63.32832333188931,5.7502794
354.8379071218525,74.00262970902597,5.752431
25.79626750235481,48.51674892720531,5.7553086
342.845176628862,61.696932196602305,5.757996
330.4608541884468,52.88225960267729,5.760108
48.57175963402927,74.24303294541919,5.7610884
25.832437982088717,60.55127983307945,5.76202
304.3858330649528,66.85501172532437,5.7695527
103.27093337547787,59.44833227057253,5.7696824
16.78953544200103,53.49817009028148,5.7701674
29.132032648127876,70.20378671458117,5.774379
1.2757673770864828,61.31397922120094,5.7756515
17.792732390589105,37.72410007070965,5.775824
110.71688681783581,55.281255279967354,5.7763724
203.67766116901512,76.54670968438737,5.777095
53.39606508627031,39.89927005823699,5.7776785
63.43689522448073,72.12599965420081,5.780776
5.181499159084898,61.87959361121511,5.781147
48.73619573207563,42.503654991888325,5.7812476
89.39645261787712,66.0960455829893,5.7824664
57.40232630366651,63.296685686501036,5.782506
328.05442174259304,79.55183700998822,5.786612
316.5963997311983,71.43128404507395,5.7892737
46.337398162857305,40.582158965081206,5.790175
39.23909759015331,38.732836685748076,5.7903485
58.43108707768176,57.9747404420207,5.792563
93.43891235413507,51.172186773185146,5.7975774
48.11057467692003,47.72550070564786,5.798303
85.75710030324981,56.581651308829144,5.8008265
359.26516756952446,42.65822294904903,5.802104
307.5029393181873,72.53159516080383,5.8028193
329.3508754563639,66.13909484433707,5.804604
344.7928932710246,52.6546723851378,5.804621
